url,category,in_repo,suggested_to,confidence,source_post,notes
/2013/06/08/ouya-retrode-a-match-made-in-heaven-stay-tuned/20130607_171527/#main,jekyll_post,no,/2013/06/08/ouya-retrode-a-match-made-in-heaven-stay-tuned/20130607_171527/#main,high,2013-06-08-ouya-retrode-a-match-made-in-heaven-stay-tuned.markdown,
/2013/06/30/brining-peanuts/20130629_211315/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211315/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/06/30/brining-peanuts/20130629_211318/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211318/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/06/30/brining-peanuts/20130629_211320/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211320/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/06/30/brining-peanuts/20130629_211323/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211323/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/06/30/brining-peanuts/20130629_211326/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211326/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/06/30/brining-peanuts/20130629_211329/#main,jekyll_post,no,/2013/06/30/brining-peanuts/20130629_211329/#main,high,2013-06-30-brining-peanuts.markdown,
/2013/09/01/steam-game-review-7-doom-1993/,jekyll_post,no,/2013/09/01/steam-game-review-7-doom-1993/,high,2013-09-29-review-doom-3-doom-3-resurrection-of-evil.markdown,
/2013/09/22/review-doom-ii-hell-on-earth/,jekyll_post,no,/2013/09/22/review-doom-ii-hell-on-earth/,high,2013-09-29-review-doom-3-doom-3-resurrection-of-evil.markdown,
/2013/10/27/rhapsody-for-android-gets-an-equalizer/,jekyll_post,no,/2013/10/27/rhapsody-for-android-gets-an-equalizer/,high,2014-04-22-nda-lifted-opengl-cable-box-fan-tv-featuring-rhapsody-release-announcement.markdown,
/2014/03/20/oubastets-wager/,jekyll_post,no,/2014/03/20/oubastets-wager/,high,2014-04-07-location-based-advertising-for-the-thrifty-hacker.markdown,
/2014/03/31/rhapsody-and-napster-add-chromecast-support/,jekyll_post,no,/2014/03/31/rhapsody-and-napster-add-chromecast-support/,high,2014-04-22-nda-lifted-opengl-cable-box-fan-tv-featuring-rhapsody-release-announcement.markdown,
/2014/04/26/the-secret-building-part-1-thats-no-berry-bush/,jekyll_post,no,/2014/04/26/the-secret-building-part-1-thats-no-berry-bush/,high,2014-05-04-the-secret-building-part-3-safe-cracking.markdown,
/2014/04/28/the-secret-building-part-2-with-video-holy-crap-theres-stuff-in-it/,jekyll_post,no,/2014/04/28/the-secret-building-part-2-with-video-holy-crap-theres-stuff-in-it/,high,2014-05-04-the-secret-building-part-3-safe-cracking.markdown,
/2022/01/01/conways-emotional-law.html,jekyll_post,no,/2022/01/01/conways-emotional-law.html,high,2022-01-09-conways-emotional-law.markdown,
/2022/01/09/conways-emotional-law.html,jekyll_post,no,/2022/01/09/conways-emotional-law.html,high,public-speaking.md,
/2022/01/10/coaching-new-leaders-during-covid.html,jekyll_post,no,/2022/01/10/coaching-new-leaders-during-covid.html,high,public-speaking.md,
/2djsgameboilerplate,gh_pages_project_path,no,/2djsgameboilerplate,high,2025-10-06-a-bunch-of-one-off-projects-for-2025.markdown,
/?p=3163/#a0,wp_query_id,yes,,none,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/#a1,wp_query_id,yes,,none,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/#a2,wp_query_id,yes,,none,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/#a4,wp_query_id,yes,,none,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/#a5,wp_query_id,yes,,none,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/android-sound/#a6,wp_query_id,yes,/2012/07/21/android-sound.html,high,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3163/android-sound/#a7,wp_query_id,yes,/2012/07/21/android-sound.html,high,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/?p=3426/#a0,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3426/#a1,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3426/#a2,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3426/#a3,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3426/#a4,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3426/#aa,wp_query_id,yes,,none,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/?p=3583/#a0,wp_query_id,yes,,none,2012-12-29-using-open-source-android-libraries-for-game-ui-iconpageradapter-as-a-game-select-screen.markdown,
/?p=3583/#a1,wp_query_id,yes,,none,2012-12-29-using-open-source-android-libraries-for-game-ui-iconpageradapter-as-a-game-select-screen.markdown,
